Vendor,Device,Adddress,City,PostalCode,Contact,Email
Ortho-Tec Limited,Orthotic Devices,31 - 585 Wentworth St. E.,Oshawa,L1H 3V8,19055713633,sharon.arscott@ortho-tec.ca; mike.christian@ortho-tec.ca
Ampos Orthopaedics Inc.,Orthotic Devices,"unit 1, 631 Montreal Rd",Ottawa,K1K 0T4,16137453173,ckraft@ampos.ca
Gene Morell Certified Orthotist,Orthotic Devices,"unit 101, 595 Montreal Rd",Ottawa,K1K 4L2,16137252829,gene997@gmail.com
Nielen Orthotics & Prosthetics,Orthotic Devices,860 Campbell Ave,Ottawa,K2A 2C5,16132245071,dnielencpo@gmail.com
Promotion Orthotics Inc.,Orthotic Devices,1014 Maitland Ave,Ottawa,K2C 2B6,16137253415,info@promotionorthotics.ca
The Rehabilitation Centre,Orthotic Devices,"unit 1209, 505 Smyth Rd.",Ottawa,K1H 8M2,16137377350,kademers@toh.on.ca
PBO Owen Sound,Orthotic Devices,"unit 2, 1665 18th Ave E",Owen Sound,N4K 5N3,15193710001,alanrigby@niagarapo.com
Kawartha Orthopaedic Services,Orthotic Devices,"unit 1, 210 Hunter St",Peterborough,K9H 2L2,17057439462,alanrigby@niagarapo.ca
Kawartha Regional Orthopedic Specialists Ltd.,Orthotic Devices,1 - 210 Hunter St W,Peterborough,K9H 2L2,17057451341,alanrigby@niagarapo.ca
PBO Kawartha,Orthotic Devices,"unit 1, 210 Hunter St W",Peterborough,K9H 2L2,17057451341,alanr@pbogroup.ca
Peterborough Orthotics Ltd.,Orthotic Devices,269 Charlotte St,Peterborough,K9J 2V3,17057426266,ptboorthotics@nexicom.net
Orthocan Orthopaedics Inc.,Orthotic Devices,"unit 201, 10830 Bayview Ave",Richmond Hill,L4S 1L7,19058832000,info@orthocan.com
Calmar Orthopaedics,Orthotic Devices,"unit 33, 760 Birchmount Rd.",Scarborough,M1K 5H8,14167576296,judy@calmarorthopaedics.com
P & D Orthotics-Prosthetics Inc.,Orthotic Devices,"unit LL7, 4040 Finch Ave E",Scarborough,M1S 4V5,14167542085,pndwong@gmail.com
Eagle Orthopaedics,Orthotic Devices,"5973 Hwy 2 East, Box 128, Tyendinaga Territory ",Shannonville,K0K 3A0,16139683330,janet@eagleorthopaedics.com
PBO Niagara,Orthotic Devices,547 Glenridge Ave,St Catharines,L2T 4C2,19056882553,alanr@pbogroup.ca
Health Sciences North/Horizon Sante-Nord,Orthotic Devices,41 Ramsey Lake Rd,Sudbury,P3E 5J1,17055222200,dfilipovic@hsnsudbury.ca
Sudbury Prosthetic And Orthotic Design Ltd.,Orthotic Devices,1340 Kelly Lake Rd,Sudbury,P3E 5P4,17056709990,leslie.mead@sudburypando.com
Northland Prosthetics & Orthotics Inc.,Orthotic Devices,540 11th Ave,Thunder Bay,P7B 2R6,18073440080,dcalder@northlandprosthetics.com; kcalder@northlandprosthetics.com
Thunder Bay Orthopaedic Inc.,Orthotic Devices,899 Fort William Rd,Thunder Bay,P7B 3A6,18073454665,tbortho@tbaytel.net
Holland Bloorview Kids Rehabilitation Hospital,Orthotic Devices,150 Kilgour Rd,Toronto,M4G 1R8,14164256220,sramdial@hollandbloorview.ca
Orthoticare,Orthotic Devices,"unit 402, 790 Bay St",Toronto,M5G 1N8,14169269564,april@orthoticare.com
Progressive Orthotic Design Inc.,Orthotic Devices,802 Bloor St W,Toronto,M6G 1L9,14166529994,prog.orth.design@gmail.com
The Hospital For Sick Children,Orthotic Devices,"555 University Ave, Commercial Services c/o Lori Chessell ",Toronto,M5G 1X8,14165987037,anna.kengatharan@sickkids.ca; jana.kanaan@sickkids.ca; erin.brennan@sickkids.ca
Toronto Orthopedic Appliance Services Ltd.,Orthotic Devices,2829 Dundas St W,Toronto,M6P 1Y6,14167666800,contact@tortho.ca
West Park Healthcare Centre,Orthotic Devices,"82 Buttonwood Ave, Prosthetics & Orthotics Dept. ",Toronto,M6M 2J5,14162433600,Sandra.Tomas@westpark.org; Poinfo@westpark.org
Cardinal Orthotics Ltd.,Orthotic Devices,"unit 21, 7500 Hwy 27",Vaughan,L4H 0J2,19056054264,evelyn@cardinalorthotics.com
Design Prosthetic & Orthotics,Orthotic Devices,"unit 7&8, 1610 McEwen Dr",Whitby,L1N 8V6,19054345935,designprosthetic@gmail.com
Clinical Orthotic Consultants Of Windsor Inc.,Orthotic Devices,316 - 3200 Deziel Dr.,Windsor,N8W 5K8,15199448340,clinicalorthotic@bellnet.ca
Truppe Artificial Limb & Brace Ltd.,Orthotic Devices,2800 Temple Dr,Windsor,N8W 5J6,15199456708,jtruppe@hotmail.com
Anderson Orthopedics Inc.,Orthotic Devices,1818 Portage Ave,Winnipeg,R3J 0G5,12048377190,kperry@andersonortho.ca
Rehabilitation Centre For Children Inc.,Orthotic Devices,"1155 Notre Dame Ave, SSCY Centre, Prosthetic & Orthotic Dept ",Winnipeg,R3E 3G1,12044524311,szappia@rccinc.ca
Winnipeg Prosthetics & Orthotics Specialty Co. Ltd.,Orthotic Devices,188 Marion St,Winnipeg,R2H 0T6,12042333942,eric@winnipegpando.com
Wellwise by Shoppers Drug Mart,Lymphedema Management Devices,"15 Westney Rd N, PO Box 31051 ",Ajax,L1T 3V2,19054274171,adpcommunications@shoppershomehealthcare.ca
Custom Comfort Inc.,Lymphedema Management Devices,"unit 3 & 4, 15150 Yonge St",Aurora,L4G 1M2,19058415337,customcomfort@rogers.com
North Hastings Family Pharmacy Ltd.,Lymphedema Management Devices,217 Hastings St N,Bancroft,K0L 1C0,16133326700,nancywiechenthal@sympatico.ca
Ortho Health Inc.,Lymphedema Management Devices,Ste 105-1 Quarry Ridge Rd,Barrie,L4M 7G1,17057261255,info@orthohealth.ca
Primary Care Pharmacy,Lymphedema Management Devices,370 Bayview Dr,Barrie,L4N 7L3,17057354500,370bayviewdrive@gmail.com
Wellwise by Shoppers Drug Mart,Lymphedema Management Devices,524 Bayfield St N,Barrie,L4M 5A1,17057226336,adpcommunications@shoppershomehealthcare.ca
Pharmasave Michael's Pharmacy,Lymphedema Management Devices,"2 Main St S, PO Box 550 ",Bayfield,N0M 1G0,15195654454,msgibrahim@hotmail.com
Heather's Home Healthcare,Lymphedema Management Devices,132 Wellington St,Bracebridge,P1L 1C4,17056457572,legault.mf@gmail.com
Gore Pharmacy,Lymphedema Management Devices,"unit 110, 4515 Ebenezer Rd",Brampton,L6P 2K7,19057945003,ggill@adapthhc.com
Mimosa Rehab,Lymphedema Management Devices,"unit 113, 275 Gardenbrooke Trail",Brampton,L6P 4M6,19059136000,mimosa.rehab@gmail.com
Head to Foot Oasis Wellness & Chiropody Clinic,Lymphedema Management Devices,11A - 5115 Harvester Rd,Burlington,L7L 0A3,19053326542,info@headtofootoasis.ca
Natural Steps Inc.,Lymphedema Management Devices,425 Locust St,Burlington,L7S 1T8,19058842997,janet@naturalsteps.ca
Ontario Home Health,Lymphedema Management Devices,116-1515 King St E,Cambridge,N3H 3R6,15196247587,rickg@ont-home-health.on.ca; sales@ont-home-health.on.ca
Stuart Ellis Pharmacy Inc.,Lymphedema Management Devices,169 Hurontario St.,Collingwood,L9Y 2M1,17054454711,stuartellishhc@hoganrxgroup.com
Pelvic & Lymphatic Therapy Supplies,Lymphedema Management Devices,333 Second St W,Cornwall,K6J 1G8,16139384848,backinmotion@cogeco.net
Medi-Motion,Lymphedema Management Devices,194 King St W.,Dundas,L9H 1V4,12892388200,medi.motion@yahoo.ca
Young's Pharmacy Limited,Lymphedema Management Devices,47 Main St S,Georgetown,L7G 3G2,19058772711,rbishay@yahoo.com
Orchardview Pharmacy,Lymphedema Management Devices,"unit 107, 155 Main St E",Grimsby,L3M 1P2,19059456088,info@orchardviewguardianpharmacy.com
Ontario Home Health,Lymphedema Management Devices,66 Delhi St,Guelph,N1E 4J7,15198219519,rickg@ont-home-health.on.ca
Rexall Pharmacy,Lymphedema Management Devices,1119 Fennell Ave E,Hamilton,L8T 1S2,19053857002,amatthews@rexall.ca
Stonechurch Pharmacy,Lymphedema Management Devices,"unit 3, 25 Redmond Dr",Hamilton,L8W 3K7,19055742828,info@stonechurchpharmacy.com
Active Orthopedic Solutions Inc.,Lymphedema Management Devices,"unit 4, 1469 Princess St",Kingston,K7M 3E9,16135302233,office@active-ortho.ca
Kingsville IDA Pharmacy,Lymphedema Management Devices,271 Main St E,Kingsville,N9Y 1A2,15197336541,hhckingsville@sunshinedrugs.com
Motion Kitchener,Lymphedema Management Devices,1362 Victoria St N,Kitchener,N2B 3E2,18553580414,DThomas@Motionspecialties.com
National Home Health Care,Lymphedema Management Devices,148 Weber St. E,Kitchener,N2H 1C9,15195783188,corrinec@bellnet.ca
National Home Health Care,Lymphedema Management Devices,148 Weber St E,Kitchener,N2H 1C9,15195783188,tracy@nationalhomehealthcare.ca
The Nu Me Boutique,Lymphedema Management Devices,"unit 4, 815 Weber St. E.",Kitchener,N2H 1H5,15195719820,faith@numeboutique.com
Wellness & Mobility Inc.,Lymphedema Management Devices,"unit 304, 197 Talbot St W",Leamington,N8H 1N8,15193222666,marnie@wami.ca; samantha@wami.ca; susan@wami.ca
Coulter's Pharmacy (London) Ltd.,Lymphedema Management Devices,1709 Dundas St,London,N5W 3E1,15194510750,scott@coulterspharmacy.com
Mcniece Tens Inc.,Lymphedema Management Devices,"unit 8, 954 Leathorne St",London,N5Z 3M5,15196818367,mcniecepriscilla@hotmail.com
Yurek Home Healthcare Ltd.,Lymphedema Management Devices,555 Wellington Rd S,London,N6C 4R3,15199631142,mgauthier@yurekpharmacy.com
Care forever Home Health Care,Lymphedema Management Devices,"unit 4, 2396 Major MacKenzie Dr",Maple,L6A 2E8,19058324988,magda.megalli@gmail.com
Wellwise by Shoppers Drug Mart,Lymphedema Management Devices,"unit 5, 9255 Woodbine Ave",Markham,L6C 1Y9,19058879055,adpcommunications@shoppershomehealthcare.ca
Custom Orthotic Design Group Ltd.,Lymphedema Management Devices,24 - 4120 Ridgeway Dr,Mississauga,L5L 5S9,19058282969,jamesbury@sympatico.ca
Health in Hands Massage Therapy and Wellness Clinic,Lymphedema Management Devices,"unit 101, 7145 West Credit Ave, Building 1 ",Mississauga,L5N 6J7,19056078422,nancyscagnetti@hotmail.com
Motion Mississauga,Lymphedema Management Devices,2130 Dundas St E,Mississauga,L4X 1L9,18888152593,DThomas@Motionspecialties.com
Physiocare & Rehab,Lymphedema Management Devices,205 - 719 Central Pkwy W,Mississauga,L5B 4L1,19052720909,nadirshahmerchant@yahoo.com
Truscott Pharmacy,Lymphedema Management Devices,15 - 2425 Truscott Dr,Mississauga,L5J 2B4,19058221614,mehul@adapthhc.com
Findlay's Drug Store (New Liskeard) Limited,Lymphedema Management Devices,"247 Whitewood Ave, PO Box 460 ",New Liskeard,P0J 1P0,17056478186,sonia@findlaysdrugstore.com
Bridle Trail Total Health Pharmacy,Lymphedema Management Devices,"unit 8, 17725 Yonge St",Newmarket,L3Y 7C1,19058984700,totalhealth125@gmail.com
Pharmashield Dispensary,Lymphedema Management Devices,5400 Portage Rd,Niagara Falls,L2G 5X7,19053568482,eshomecare@hotmail.ca
Robinson's Pharmasave,Lymphedema Management Devices,2547 Trout Lake Rd,North Bay,P1B 7S8,17054954515,dean.blanchard@robpharm.ca
Main Drug Mart,Lymphedema Management Devices,"unit 105, 1100 Sheppard Ave E",North York,M2K 2W1,14162211700,1100dmd@gmail.com
Comfort Clinic,Lymphedema Management Devices,"unit 17, 511 Maple Grove Dr",Oakville,L6J 6X8,12896442464,alla.mast@comfortclinic.ca
Ontario Home Health,Lymphedema Management Devices,4 - 170 Lakeview Court,Orangeville,L9W 5J7,15199411127,rickg@ont-home-health.on.ca
Wellwise by Shoppers Drug Mart,Lymphedema Management Devices,1675 Tenth Line Rd,Orleans,K1E 3P6,16138343070,adpcommunications@shoppershomehealthcare.ca
Durham Medical (1983) Ltd.,Lymphedema Management Devices,242 King St E,Oshawa,L1H 1C7,19057281112,bill@durhammedical.ca
Canada Care Medical Inc.,Lymphedema Management Devices,1644 Bank St,Ottawa,K1V 7Y6,16132341222,ameloche@canadacaremedical.com
CertiCare Medical Garments Inc.,Lymphedema Management Devices,"unit 2, 74 Auriga Dr",Ottawa,K2E 7X7,16138450168,ashley@certicare.ca
Lane Family Pharmacy,Lymphedema Management Devices,4 Pine Dr,Parry Sound,P2A 3B8,17057462187,mina.yohanna@hotmail.com
Mulvihill Drug Mart,Lymphedema Management Devices,1231 Pembroke St W,Pembroke,K8A 5R3,16137351079,brian.mulvihill@mulvihilldrugmart.com
Medical Centre Pharmacy,Lymphedema Management Devices,707 Charlotte St,Peterborough,K9J 2X5,17057433484,medicalcentrepharmacy@sympatico.ca
My Left Breast,Lymphedema Management Devices,3 - 203 Simcoe St.,Peterborough,K9H 2H6,17058763333,bridget.leslie@gmail.com
Wellwise by Shoppers Drug Mart,Lymphedema Management Devices,516 Exmouth St,Sarnia,N7T 5P3,15193449797,adpcommunications@shoppershomehealthcare.ca
Body First,Lymphedema Management Devices,7 - 642 Queen St,Sault Ste Marie,P6A 2A4,17059492639,bodyfirst@bellnet.ca
Motion Sault Ste Marie,Lymphedema Management Devices,"unit 2, 671A Great Northern Rd",Sault Ste Marie,P6B 5A1,18664032267,DThomas@Motionspecialties.com
Rylander Pharmacy,Lymphedema Management Devices,"unit 8, 6758 Kingston Rd.",Scarborough,M1B 1G8,14162824223,minaabd@hotmail.com; pharmasave606n@hotmail.com
The Lymphedema Fitter Services Inc.,Lymphedema Management Devices,"unit 108, 520 Ellesmere Rd",Scarborough,M1R 0B1,14165512664,sandra@lymphedemafitter.com
Wellwise by Shoppers Drug Mart,Lymphedema Management Devices,685 Mccowan Rd,Scarborough,M1J 3N8,14164314621,adpcommunications@shoppershomehealthcare.ca
Roulston's Pharmacy,Lymphedema Management Devices,65 Donly Dr N,Simcoe,N3Y 0C2,15194268011,barmstrong@roulstons.com
Hauser's Drugs Limited,Lymphedema Management Devices,1200 4th Ave.,St Catharines,L2S 0A9,19056853030,phauser@gmail.com
PBO Niagara,Lymphedema Management Devices,547 Glenridge Ave,St Catharines,L2T 4C2,19056882553,alanr@pbogroup.ca
Wellwise by Shoppers Drug Mart,Lymphedema Management Devices,"145 Carlton St, Lake Carlton Plaza ",St Catharines,L2R 1R5,19056415200,adpcommunications@shoppershomehealthcare.ca
Yurek Pharmacy Limited,Lymphedema Management Devices,519 Talbot St,St Thomas,N5P 1C3,15196313330,mgauthier@yurekpharmacy.com
Ontario Home Health,Lymphedema Management Devices,221 Huron St,Stratford,N5A 5T1,15192735770,rickg@ont-home-health.on.ca
Health Care Pharmacy,Lymphedema Management Devices,1276 Lasalle Blvd.,Sudbury,P3A 1Y8,17055665592,dean.blanchard@robpharm.ca
TLC Pharmacy Limited,Lymphedema Management Devices,11811 Tecumseh Rd E,Tecumseh,N8N 1L8,15199793555,tlc@sunshinedrugs.com
Bio Ped (Thornhill) Inc.,Lymphedema Management Devices,"unit 29, 7700 Bathurst St",Thornhill,L4J 7Y3,19058822273,feedback@bioped.com
Thunder Bay Orthopaedic Inc.,Hypertrophic Scar Management Devices,899 Fort William Rd,Thunder Bay,P7B 3A6,18073454665,tbortho@tbaytel.net
Thunder Bay Orthopaedic Inc.,Lymphedema Management Devices,899 Fort William Rd,Thunder Bay,P7B 3A6,18073454665,tbortho@tbaytel.net
Canadian Compounding Pharmacy,Lymphedema Management Devices,2920 Bloor St W,Toronto,M8X 1B4,14162393566,dan.yurchuk@gmail.com
Main Drug Mart,Lymphedema Management Devices,"unit 105, 1100 Sheppard Ave E",Toronto,M2K 2W1,14162211700,mdm1100@rogers.com
Mansueta Medical Garment Fitters Ltd.,Lymphedema Management Devices,700 University Ave Hsc 1,Toronto,M5G 1X6,14165910006,mancie@bellnet.ca
Recovery Garment Centre Inc.,Hypertrophic Scar Management Devices,16 Heintzman St.,Toronto,M6P 2J6,14167623327,stanguay@cdrm.ca
Recovery Garment Centre Inc.,Lymphedema Management Devices,16 Heintzman St.,Toronto,M6P 2J6,14167623327,stanguay@cdrm.ca
Soft Touch Mastectomy,Lymphedema Management Devices,"unit 203, 3077 Bathurst St",Toronto,M6A 1Z9,14167825353,info@softtouchmastectomy.com
Solace,Lymphedema Management Devices,"unit 3, 62 Marine Parade Dr",Toronto,M8V 0A3,16473601731,solaceiscomfort@gmail.com
The Hospital For Sick Children,Hypertrophic Scar Management Devices,"555 University Ave, Commercial Services c/o Lori Chessell ",Toronto,M5G 1X8,14165987037,anna.kengatharan@sickkids.ca; jana.kanaan@sickkids.ca; erin.brennan@sickkids.ca
Wellwise by Shoppers Drug Mart,Lymphedema Management Devices,528 Lawrence Ave W,Toronto,M6A 1A1,14167893368,adpcommunications@shoppershomehealthcare.ca
Wellwise by Shoppers Drug Mart,Lymphedema Management Devices,"unit 200, 65 Wicksteed Ave",Toronto,M4G 4H9,14164674673,adpcommunications@shoppershomehealthcare.ca
Mobility Spot Inc.,Lymphedema Management Devices,"unit 13, 200 Viceroy Rd",Vaughan,L4K 3N8,19057640708,mfreedman@mobilityspot.ca
Wellwise by Shoppers Drug Mart,Lymphedema Management Devices,8000 Bathurst St,Vaughan,L4J 4B8,19057639525,adpcommunications@shoppershomehealthcare.ca
Westmount Place Pharmacy,Lymphedema Management Devices,"unit D1, 50 Westmount Rd N",Waterloo,N2L 2R5,15198867670,pharmasave9724@gmail.com
Forest Glade Pharmacy Ltd.,Lymphedema Management Devices,3145 Forest Glade Dr,Windsor,N8R 1W6,15199799200,forestglade@sunshinedrugs.com
Mcniece Tens Inc.,Lymphedema Management Devices,"unit 4, 3506 Tecumseh Rd E",Windsor,N8W 1H6,15199484004,mcniecepriscilla@hotmail.com
Wellwise by Shoppers Drug Mart,Lymphedema Management Devices,1624 Howard Ave,Windsor,N8X 3T7,15192522715,adpcommunications@shoppershomehealthcare.ca
Lakeridge Health,Home Oxygen,580 Harwood Ave S,Ajax,L1S 2J4,19057214800,moppers@lh.ca
Vitalaire,Home Oxygen,"unit E5, 235 Salem Rd S",Ajax,L1Z 0B1,19054288800,Margaret.Jaworski@Airliquide.com
Complete Respiratory Care,Home Oxygen,106 Victoria St W,Alliston,L9R 1Y7,17054340034,luc@advacare.ca
Medigas,Home Oxygen,"unit 12, 431 Bayview Dr",Barrie,L4N 8Y2,17057210555,Wendy.Southall@linde.com
Royal ProResp Inc.,Home Oxygen,"102 Commerce Park Dr., #5",Barrie,L4N 8W8,17057300818,bmarshall@proresp.com
InspiAIR Inc.,Home Oxygen,"unit 4A, 170 North Front St",Belleville,K8N 4Z4,16139617070,scott@inspiair.ca; jackie@inspiair.ca; sean@inspiair.ca
Medigas,Home Oxygen,"unit 5, 175 Dundas St E, P.O. Box 1088 ",Belleville,K8N 1C9,16139694450,Wendy.Southall@linde.com
Vitalaire,Home Oxygen,345 College St. E.,Belleville,K8N 5J7,16139697448,Margaret.Jaworski@Airliquide.com
Home Care Oxygen Service,Home Oxygen,"unit 1, 1 Monica Lane",Bracebridge,P1L 1P8,17056455161,Wendy.Southall@linde.com
Renaissance Respiratory Home Care Services Inc.,Home Oxygen,"unit 400, 60 Gillingham Dr",Brampton,L6X 0Z9,19057927377,info@renaissancerespiratory.com
William Osler ProResp Inc.,Home Oxygen,"2100 Bovaird Dr E, Brampton Civic Hospital ",Brampton,L6R 3J7,19054946205,bmarshall@proresp.com
Medigas,Home Oxygen,4 - 71 Charing Cross,Brantford,N3R 2H4,15194420734,Wendy.Southall@linde.com
ProResp Inc.,Home Oxygen,"unit EL3963, 200 Terrace Hill St",Brantford,N3R 1G9,15196862615,bmarshall@proresp.com
InspiAir Inc.,Home Oxygen,80 King St,Brockville,K6V 3P9,16133497437,scott@inspiair.ca; jackie@inspiair.ca; sean@inspiair.ca
Medigas,Home Oxygen,"10 - 555 California Ave, P.O. Box 306 ",Brockville,K6V 5V5,16134923057,Wendy.Southall@linde.com
Vitalaire,Home Oxygen,203 - 51 King St. E.,Brockville,L6V 1A8,16134980336,Margaret.Jaworski@Airliquide.com
Respiratory Homecare Solutions Canada Inc.,Home Oxygen,2013 Mount Forest Dr,Burlington,L7P 1H4,19053319601,Brittany.golbeck@rhscanada.com
Med-E-Ox/Mobility in Motion,Home Oxygen,"unit 7&8, 1710 Bishop St N",Cambridge,N1T 1T2,15196239930,david@mobilityinmotion.net
Medigas,Home Oxygen,679 Coronation Boulevard,Cambridge,N1R 3G5,15196207311,Wendy.Southall@linde.com
Mobility in Motion,Home Oxygen,"unit 7, 1710 Bishop St N",Cambridge,N1T 1T2,15196239930,david@mobilityinmotion.net
Ontario Home Health,Home Oxygen,116-1515 King St E,Cambridge,N3H 3R6,15196247587,rickg@ont-home-health.on.ca
Respiratory Homecare Solutions Canada Inc.,Home Oxygen,"unit B2B, 350 Conestoga Blvd",Cambridge,N1R 7L7,15195915202,Brittany.golbeck@rhscanada.com
Complete Respiratory Care,Home Oxygen,"unit 6, 355 Franktown Rd",Carleton Place,K7C 4M6,19055329539,luc@advacare.ca
ProResp Inc.,Home Oxygen,"unit 1, 750 Richmond St W",Chatham,N7M 5J5,15193541301,bmarshall@proresp.com
Vitalaire,Home Oxygen,57 Centre St.,Chatham,N7M 4W3,15194361414,Margaret.Jaworski@Airliquide.com
Medigas,Home Oxygen,"unit 6, 1 Strathy Rd",Cobourg,K9A 5J6,19053734303,Wendy.Southall@linde.com
Complete Respiratory Care,Home Oxygen,"unit 4, 275 First St",Collingwood,L9Y 1Y8,17054443300,luc@advacare.ca
Ontario Home Health,Home Oxygen,"unit C, 395 Hume St",Collingwood,L9W 1W7,17054442263,rickg@ontariohomehealth.ca
InspiAIR Inc.,Home Oxygen,"unit 1, 837 Pitt St",Cornwall,K6J 3S5,16132923178,scott@inspiair.ca
Medigas,Home Oxygen,"unit 1, 691 Brookdale Ave",Cornwall,K6J 5C6,16139360125,Wendy.Southall@linde.com
Motion Cornwall,Home Oxygen,613 Pitt St,Cornwall,K6J 3R8,16139368745,DThomas@Motionspecialties.com
Vitalaire,Home Oxygen,5 - 805 Sydney St.,Cornwall,K6H 3J7,16139381116,Margaret.Jaworski@Airliquide.com
Lakeridge Health,Home Oxygen,"unit 33, 1414 Hwy 2 E",Courtice,L1E 3B4,19057214800,moppers@lh.ca
Haldimand Home Respiratory Services Inc.,Home Oxygen,160 Queen St.,Dunnville,N1A 1H7,19057014477,haldimandhomers@hotmail.com
Ontario Home Health,Home Oxygen,"137 George St, Box 673 ",Durham,N0G 1R0,15193695655,rickg@ontariohomehealth.ca
ProResp Espanola,Home Oxygen,"unit 110, 800 Center St",Espanola,P5E 1J3,17058690777,bmarshall@proresp.com
Advacare Inc.,Home Oxygen,"unit 2, 5324 Dundas St W",Etobicoke,M9B 1B4,14162348889,luc@advacare.ca
MedPro Respiratory Care,Home Oxygen,"unit 404, 100 Humber College Blvd",Etobicoke,M9V 5G4,14167478300,glouvros@medprorespiratory.com
