Longitude,Latitude,Ontario_Geospatial_ID,MOH_ID,Service_Type,Service_Detail,Name_Health_Provider,Address,Unit/Floor,Address_Type,Community/Muncipality,Postal_Code
-79.37891368,43.66883689,137284607,9000000026,AIDS Bureau,"CBAESP, HIV Outpatient Clinic",Casey House,119 Isabella Street,0,Practice Location,Toronto,M4Y1P2
-79.37634968,43.66273639,137284608,9000000027,AIDS Bureau,CBAESP,Centre for Spanish-Speaking Peoples,120 Carlton Street,Suite 201,Practice Location,Toronto,M5A4K3
-79.40231559,43.64637398,137284609,9000000028,AIDS Bureau,"CBAESP, AT site, HIV POC Testing",Centre francophone du Grand Toronto,555 Richmond Street West,"Unit 303, Postal Office Box 600",Practice Location,Toronto,M5V3B1
-75.69776014,45.41547135,137284610,9000000029,AIDS Bureau,"AT site, HIV POC Testing",Centretown Community Health Centre,420 Cooper Street,0,Practice Location,Ottawa,K2P2N6
-82.17519145,42.40646613,137284611,9000000030,AIDS Bureau,"AT site, HIV POC Testing",Chatham-Kent Public Health Unit,177 King Street East,Suite 2,Practice Location,Chatham-Kent,N7M3N1
-75.65128412,45.40091955,137284612,9000000031,AIDS Bureau,HIV Outpatient Clinic,"Children's Hospital of Eastern Ontario (CHEO), Division of Infectious Diseases",401 Smyth Road,0,Practice Location,Ottawa,K1H8L1
-81.02219792,44.90808282,137284613,9000000032,AIDS Bureau,CBAESP,Chippewas of Nawash First Nation,135 Lakeshore Boulevard,Chippewas of Nawash Health Centre,Practice Location,Wiarton,N0H2T0
-79.87352471,43.25694419,137284614,9000000033,AIDS Bureau,"AT site, HIV POC Testing","City of Hamilton, Hamilton Public Health, David Braley Science Centre
Sexual Health Program",100 Main Street West,4th Floor,Practice Location,Hamilton,L8P1H6
-79.8711221,43.25786669,137284615,9000000034,AIDS Bureau,"CBAESP, AT site, HIV POC Testing","City of Hamilton, Hamilton Public Health, Infectious Diseases Program",110 King Street West,4th Floor,Practice Location,Hamilton,L8P4S6
-75.69009514,45.43052396,137284616,9000000035,AIDS Bureau,"CBAESP, HR Program","City of Ottawa, Ottawa Public Health",179 Clarence Street,0,Practice Location,Ottawa,K1N5P7
-79.37938038,43.65654429,137284617,9000000036,AIDS Bureau,CBAESP,"City of Toronto, Toronto Public Health",277 Victoria Street,5th Floor,Practice Location,Toronto,M5B1W2
-79.36703358,43.66237079,137284618,9000000037,AIDS Bureau,CBAESP,"Committee for Accessible AIDS Treatment, c/o Regent Park Community Health Centre",411 Parliament Street,0,Practice Location,Toronto,M5A3A1
-78.84479043,43.86928605,137284619,9000000038,AIDS Bureau,"HCV Team, HIV POC Testing",Carea Community Health Centre,115 Grassmere Avenue,0,Practice Location,Oshawa,L1H3X7
-78.87895794,43.88944965,137284620,9000000039,AIDS Bureau,"AT site, HIV POC Testing","Durham Region Health Department
Oshawa Sexual Health Clinic",419 King Street West,"Suite 180, Office Galleria",Practice Location,Oshawa,L1J2K5
-79.4447352,43.65414868,137284621,9000000040,AIDS Bureau,CBAESP,Family Service Toronto,Sterling Road,"Unit 202, 128a",Practice Location,Toronto,M6R2B7
-79.37508638,43.66765829,137284622,9000000041,AIDS Bureau,CBAESP,Fife House,490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9
-79.36822568,43.66441109,137284623,9000000042,AIDS Bureau,CBAESP,"Gay Men's Sexual Health Alliance
c/o Ontario AIDS Network",252 Carlton Street,"Unit A, Suite 300",Practice Location,Toronto,M5A2L1
-79.69391305,44.3834346,137284624,9000000043,AIDS Bureau,"CBAESP, HR Program",Gilbert Centre for Social and Support Services,80 Bradford Street,Suite 555,Practice Location,Barrie,L4N6S7
-79.36252578,43.65615969,137284625,9000000044,AIDS Bureau,CBAESP,Good Shepherd Refuge Social Ministries (Barrett House),412 Queen Street East,0,Practice Location,Toronto,M5A1T3
-84.31607455,46.5222455,137284626,9000000045,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing","Group Health Centre, Sault Ste. Marie and District",240 McNabb Street,0,Practice Location,Sault Ste. Marie,P6B1Y5
-79.78458289,43.35405261,137284627,9000000046,AIDS Bureau,"AT site, HIV POC Testing",Halton Region Health Department,3350 Fairview Street,0,Practice Location,Burlington,L7N3L5
-79.8540902,43.26247809,137284628,9000000047,AIDS Bureau,HIV Outpatient Clinic,"Hamilton Health Sciences
Special Immunology Services Clinic",237 Barton Street East,0,Practice Location,Hamilton,L8L2X2
-79.37880568,43.66005569,137284629,9000000048,AIDS Bureau,"CBAESP, AT Site, HIV POC Testing",Hassle Free Clinic,66 Gerrard Street East,Suite 200,Practice Location,Toronto,M5B1G3
-77.39169699,44.18671277,137284630,9000000049,AIDS Bureau,HIV POC Testing,Hastings & Prince Edward Counties Health Unit,179 North Park Street,0,Practice Location,Belleville,K8P4P1
-79.37417518,43.66473609,137284631,9000000050,AIDS Bureau,HIV Outpatient Clinic,"Health Centre at 410
St. Michael's Hospital",410 Sherbourne Street,0,Practice Location,Toronto,M4X1K2
-81.00826578,46.47364028,137284632,9000000051,AIDS Bureau,HIV Outpatient Clinic,"Health Sciences North, The HAVEN Program",865 Regent Street,0,Practice Location,Greater Sudbury,P3E3Y9
-79.23569065,43.78867972,137284633,9000000052,AIDS Bureau,CBAESP,Hemophilia Ontario,10 Milner Business Court,Suite 300,Practice Location,Toronto,M1B3C6
-79.38395508,43.64674038,137284634,9000000053,AIDS Bureau,CBAESP,HIV & AIDS Legal Clinic Ontario,55 University Avenue,Suite 1400,Practice Location,Toronto,M5J2H7
-76.50893081,44.23985792,137284635,9000000054,AIDS Bureau,"CBAESP, HR Program",HIV/AIDS Regional Services,844 Princess Street,Unit A,Practice Location,Kingston,K7L1G5
-80.26898506,43.54998603,137284636,9000000055,AIDS Bureau,"CBAESP, HR Program, HIV Outpatient Clinic",HIV/AIDS Resources and Community Health Clinic (ARCH Clinic),77 Westmount Road,Unit 110,Practice Location,Guelph,M2M4K5
-79.39598279,43.70685039,137284637,9000000056,AIDS Bureau,CBAESP,Hospice Toronto,55 Eglinton Avenue East,Suite 502,Practice Location,Toronto,M4P1G8
-76.4859229,44.23086472,137284638,9000000057,AIDS Bureau,HIV Outpatient Clinic,"Hotel Dieu Hospital
Kingston Hospital Science Centre
Infection & Immunology Clinic",166 Brock Street,0,Practice Location,Kingston,K7L5G2
-78.86684194,43.89842855,137284639,9000000059,AIDS Bureau,"CBAESP, HR Program",John Howard Society of Durham Region,75 Richmond Street West,0,Practice Location,Oshawa,L1G1E3
-76.4920591,44.26243372,137284640,9000000060,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",Kingston Community Health Centres,263 Weller Avenue,Unit 4,Practice Location,Kingston,K7K2V4
-76.52515551,44.22776331,137284641,9000000061,AIDS Bureau,"AT site, HIV POC Testing","Kingston, Frontenac and Lennox & Addington Public Health Unit",221 Portsmouth Avenue,0,Practice Location,Kingston,K7M1V5
-78.94389786,43.85506544,137284642,9000000062,AIDS Bureau,"CBAESP, HCV Team, HIV Outpatient Clinic, HIV POC Testing","Lakeridge Health, Positive Care Clinic",300 Gordon Street,0,Practice Location,Whitby,L1N5T2
-79.37590518,43.65032439,137284643,9000000063,AIDS Bureau,CBAESP,LOFT Community Services,15 Toronto Street,19th floor,Practice Location,Toronto,M5C2E3
-81.22972781,42.98904998,137284644,9000000064,AIDS Bureau,"CBAESP, HCV Team, AT Site, HIV POC Testing","London Intercommunity Health Centre, Options Clinic",659 Dundas Street,0,Practice Location,London,N5W2Z1
-79.36405268,43.65547049,137284645,9000000065,AIDS Bureau,CBAESP,Maggie's: Toronto Sex Workers Action Project,351 Queen Street East,Postal Office Box 82527,Practice Location,Toronto,M5A1T2
-81.25403822,42.98145508,137284646,9000000066,AIDS Bureau,HIV POC Testing,Middlesex-London Health Unit,50 King Street,0,Practice Location,London,N6A5L7
-79.39008819,43.65755249,137284647,9000000068,AIDS Bureau,HIV Outpatient Clinic,"Mount Sinai Hospital, Department of Psychiatry, Clinic for HIV-Related Concerns",600 University Avenue,Unit 965D,Practice Location,Toronto,M5G1X5
-79.27850371,43.1536715,137284648,9000000069,AIDS Bureau,"HCV Team, HIV POC Testing",Niagara Health System,1200 Fourth Avenue,0,Practice Location,St. Catharines,L2S0A9
-79.23212199,43.16930461,137284649,9000000070,AIDS Bureau,"AT site, HIV POC Testing","Niagara Region Public Health Department, St. Catharines Sexual Health Centre",277 Welland Avenue,Unit 4,Practice Location,St. Catharines,L2R2P7
-79.46766457,46.31328863,137284650,9000000071,AIDS Bureau,"AT site, HIV POC Testing",North Bay Parry Sound District Health Unit,345 Oak Street West,0,Practice Location,North Bay,P1B2S7
-82.00250066,43.09633566,137284651,9000000072,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",North Lambton Community Health Centre,59 King Street West,Suite 3,Practice Location,Lambton Shores,N0N1J0
-94.4882313,49.76954834,137284652,9000000073,AIDS Bureau,"AT site, HIV POC Testing",Northwestern Health Unit,210 First Street North,0,Practice Location,Kenora,P9N2K4
-79.39341169,43.70798699,137284653,9000000074,AIDS Bureau,"CBAESP, HR Program",Ontario Aboriginal HIV/AIDS Strategy,164 Eglinton Avenue East,Suite 301,Practice Location,Toronto,M4P1A6
-79.36822568,43.66441109,137284654,9000000075,AIDS Bureau,CBAESP,Ontario AIDS Network,252 Carlton Street,"Unit A, Suite 300",Practice Location,Toronto,M5A2L1
-79.38043019,43.7347081,137284655,9000000076,AIDS Bureau,CBAESP,"Ontario Association of the Deaf, Deaf Outreach Project",2395 Bayview Avenue,0,Practice Location,Toronto,M2L1A2
-79.37508638,43.66765829,137284656,9000000077,AIDS Bureau,CBAESP,Ontario Harm Reduction Network (c/o Fife House),490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9
-79.39276069,43.68420299,137284657,9000000078,AIDS Bureau,CBAESP,Ontario HIV Treatment Network,1300 Yonge Street,Suite 600,Practice Location,Toronto,M4T1X3
-81.24835931,42.98313058,137284658,9000000079,AIDS Bureau,CBAESP,Ontario Organizational Development Program,186 King Street,Unit 30,Practice Location,London,N6A1C7
-75.69735714,45.41574545,137284659,9000000080,AIDS Bureau,CBAESP,Ottawa Gay Men's Wellness Initiative (Operating as MAX Ottawa),400 Cooper Street,Suite 9004,Practice Location,Ottawa,K2P2H8
-75.64762792,45.40123305,137284660,9000000081,AIDS Bureau,"CBAESP, HIV Outpatient Clinic","The Ottawa Hospital, Module G",501 Smyth Road,2nd Floor,Practice Location,Ottawa,K1H8L6
-75.69009514,45.43052396,137284661,9000000082,AIDS Bureau,"AT site, HIV POC Testing",Ottawa Public Health,179 Clarence Street,0,Practice Location,Ottawa,K1N5P7
-81.15123687,42.77784255,137284662,9000000083,AIDS Bureau,"AT site, HIV POC Testing","Oxford Elgin St. Thomas Public Health, Sexual Health Program",1230 Talbot Street,0,Practice Location,St. Thomas,N5P1G9
-79.72631989,43.65860677,137284663,9000000084,AIDS Bureau,"CBAESP, HR Program",MOYO Health and Community Services,7700 Hurontario Street,Unit 601,Practice Location,Brampton,L6Y4M3
-79.40423059,43.64659738,137284664,9000000085,AIDS Bureau,"CBAESP, AT site, HR Program, HIV POC Testing",Parkdale Queen West Community Health Centre,168 Bathurst Street,0,Practice Location,Toronto,M5V2R4
-78.3203191,44.30180865,137284665,9000000086,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",Peterborough AIDS Resource Network,159 King Street,Suite 302,Practice Location,Peterborough,K9J2R8
-79.39737039,43.66961219,137284666,9000000087,AIDS Bureau,"AT site, HIV POC Testing",Planned Parenthood of Toronto,36 Prince Arthur Avenue,Unit B,Practice Location,Toronto,M5R1A9
-81.32862633,48.47254667,137284667,9000000088,AIDS Bureau,"CBAESP, AT Site, HR Program, HIV POC Testing",Porcupine Health Unit,169 Pine Street South,Postal Office Bag 2012,Practice Location,Timmins,P4N8B7
-79.23275439,43.16336631,137284668,9000000089,AIDS Bureau,"CBAESP, HR Program",Positive Living Niagara,120 Queenston Street,0,Practice Location,St. Catharines,L2R2Z3
-79.36455498,43.65467289,137284669,9000000090,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",Prisoners with HIV/AIDS Support Action Network,526 Richmond Street East,0,Practice Location,Toronto,M5A1R3
-79.37832458,43.65377639,137284670,9000000091,AIDS Bureau,CBAESP,"Providence St. Joseph's and St. Michael's Healthcare, Department of Family and Community Medicine",30 Bond Street,0,Practice Location,Toronto,M5B1W8
-79.36558888,43.65938489,137284671,9000000092,AIDS Bureau,"CBAESP, HR Program",Regent Park Community Health Centre,465 Dundas Street East,0,Practice Location,Toronto,M5A2B2
-79.7195857,43.71832758,137284672,9000000093,AIDS Bureau,"AT site, HIV POC Testing","Region of Peel, Peel Public Health -
Bramalea Clinic",150 Central Park Drive,Suite 09,Practice Location,Brampton,L6T2T9
-79.63828376,43.58319456,137284673,9000000094,AIDS Bureau,"AT site, HIV POC Testing","Region of Peel, Peel Public Health - Fairview Clinic",325 Central Parkway West,Unit 21,Practice Location,Mississauga,L5B3X9
-79.63741337,43.71829269,137284674,9000000095,AIDS Bureau,"AT site, HIV POC Testing","Region of Peel, Peel Public Health - Malton Clinic",7205 Goreway Drive,"Suite B7, Lower Level",Practice Location,Mississauga,L4T2T9
-79.758125,43.58198806,137284675,9000000096,AIDS Bureau,"AT site, HIV POC Testing","Region of Peel, Peel Public Health - Meadowvale Clinic",6975 Meadowvale Town Centre Circle,Unit 3,Practice Location,Mississauga,L5N2W7
-80.52084063,43.4629275,137284676,9000000097,AIDS Bureau,"AT site, HIV POC Testing",Region of Waterloo Public Health,99 Regina Street South,2nd Floor,Practice Location,Waterloo,N2J4V3
-81.24835931,42.98313058,137284677,9000000098,AIDS Bureau,"CBAESP, HR Program",Regional HIV/AIDS Connection,186 King Street,Unit 30,Practice Location,London,N6A1C7
-80.99250418,46.49110898,137284678,9000000099,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",Réseau Access Network,111 Larch Street,Unit 401,Practice Location,Greater Sudbury,P3E4T5
-79.57171735,43.71933709,137284679,9000000100,AIDS Bureau,"AT site, HIV POC Testing",Rexdale Community Health Centre,8 Taber Road,0,Practice Location,Toronto,M9W3A4
-75.68360233,45.42938946,137284680,9000000101,AIDS Bureau,"CBAESP, AT Site, HR Program, HIV Outpatient Clinic, HIV POC Testing","Sandy Hill Community Health Centre, OASIS Program",221 Nelson Street,1st Floor,Practice Location,Ottawa,K1N1C7
-80.52133993,43.4686193,137284681,9000000102,AIDS Bureau,"HCV Team, HIV POC Testing",Sanguen Health Centre,29 Young Street East,0,Practice Location,Waterloo,N2J2L4
-81.34409189,44.51467054,137284682,9000000103,AIDS Bureau,CBAESP,"Saugeen First Nation No. 29, 
Mino Bimaadsawin Health Centre",57 Mason Drive,R.R. 1,Practice Location,Southampton,N0L2L0
-79.28770687,43.78373861,137284683,9000000104,AIDS Bureau,HIV POC Testing,Scarborough Centre for Healthy Communities,4002 Sheppard Avenue East,Suite 401,Practice Location,Toronto,M1S4R5
-80.149253,45.43504015,137284684,9000000105,AIDS Bureau,CBAESP,Shawanaga First Nation Healing Centre,19 Shebeshekong Road,R.R. 1,Practice Location,Nobel,P0G1G0
-79.37202078,43.66230769,137284685,9000000106,AIDS Bureau,"HCV Team, HIV POC Testing",Sherbourne Health Centre,333 Sherbourne Street,0,Practice Location,Toronto,M5A2S5
-79.38773779,43.65710429,137284686,9000000107,AIDS Bureau,HIV Outpatient Clinic,"Sick Kids Hospital, ID2 Clinic",555 University Avenue,0,Practice Location,Toronto,M5G1X8
-79.69391305,44.3834346,137284687,9000000108,AIDS Bureau,"CBAESP, AT site, HIV POC Testing",Simcoe Muskoka District Health Unit,80 Bradford Street,Suite 403,Practice Location,Barrie,L4N6S7
-91.91745928,50.09991018,137284688,9000000109,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",Sioux Lookout First Nations Health Authority,61 Queen Street East,Postal Office Box 1300,Practice Location,Sioux Lookout,P8T1B8
-80.11694307,43.07035405,137284689,9000000110,AIDS Bureau,CBAESP,Six Nations of The Grand River,1695 Chiefswood Road,Postal Office Box 5000,Practice Location,Ohsweken,N0A1M0
-75.70990934,45.40903825,137284690,9000000111,AIDS Bureau,"CBAESP, AT Site, HR Program, HIV POC Testing",Somerset West Community Health Centre,55 Eccles Street,0,Practice Location,Ottawa,K1R6S3
-79.33912207,43.66103229,137284691,9000000112,AIDS Bureau,"CBAESP HR Program, HCV Team, HIV POC Testing",South Riverdale Community Health Centre,955 Queen Street East,0,Practice Location,Toronto,M4M3P3
-75.67505383,45.38799185,137284692,9000000113,AIDS Bureau,"AT site, HIV POC Testing",South-East Ottawa Community Health Centre,1355 Bank Street,Suite 600,Practice Location,Ottawa,K1H8K7
-81.25503632,43.00126838,137284693,9000000114,AIDS Bureau,"CBAESP, HIV Outpatient Clinic","St. Joseph's Health Care London, Infectious Diseases Care Program",268 Grosvenor Street,0,Practice Location,London,N6A4V2
-79.37832458,43.65377639,137284694,9000000115,AIDS Bureau,HIV Outpatient Clinic,"St. Michael's Hospital, Positive Care Clinic",30 Bond Street,"North Wing, 4th Floor, Cardinal Carter",Practice Location,Toronto,M5B1X1
-76.4831598,44.23377052,137284695,9000000116,AIDS Bureau,HIV POC Testing,Street Health Centre,115 Barrack Street,0,Practice Location,Kingston,K7K1G2
-79.40356469,43.65632659,137284696,9000000117,AIDS Bureau,CBAESP,Neighbourhood Group Community Services,91 Bellevue Avenue,0,Practice Location,Toronto,M5T2N8
-80.99979219,46.49378548,137284697,9000000118,AIDS Bureau,"CBAESP, HR Program",Sudbury Action Centre for Youth,95 Pine Street,0,Practice Location,Greater Sudbury,P3C1W9
-80.99795418,46.46605698,137284698,9000000119,AIDS Bureau,CBAESP,Sudbury and District Health Unit (operating as Public Health Sudbury & Districts),1300 Paris Street,0,Practice Location,Greater Sudbury,P3E3A3
-80.99221818,46.49378978,137284699,9000000120,AIDS Bureau,"AT site, HIV POC Testing",Sudbury and District Health Unit (operating as Public Health Sudbury & Districts),10 Elm Street,Unit 130,Practice Location,Greater Sudbury,P3C5N3
-79.37287829,43.7228543,137284700,9000000121,AIDS Bureau,HIV Outpatient Clinic,"Sunnybrook Health Sciences Centre, Anita Rachlis Clinic",2075 Bayview Avenue,Room H266,Practice Location,Toronto,M4N3M5
-79.46841432,43.69193779,137284701,9000000122,AIDS Bureau,"CBAESP, HR Program",Syme-Woolner Neighbourhood and Family Centre,2468 Eglinton Avenue West,0,Practice Location,Toronto,M6M5E2
-79.39250949,43.69718229,137284702,9000000124,AIDS Bureau,CBAESP,Teresa Group Child and Family Aid,124 Merton Street,Suite 104,Practice Location,Toronto,M4S2Z2
-79.8649878,43.25511559,137284703,9000000125,AIDS Bureau,"CBAESP, HR Program",The AIDS Network,140 King Street East,"Suite 101, Lower Level",Practice Location,Hamilton,L8N1B2
-75.64762792,45.40123305,137284704,9000000126,AIDS Bureau,"HCV Team, HIV POC Testing","The Ottawa Hospital
Department of Medicine
Division of Infectious Diseases",501 Smyth Road,"Postal Office Box 223, Second Floor",Practice Location,Ottawa,K1H8L6
-89.25885787,48.40058036,137284705,9000000127,AIDS Bureau,"CBAESP, AT Site, HIV POC Testing",Thunder Bay District Health Unit,999 Balmoral Street,0,Practice Location,Thunder Bay,P7B6E7
-79.32486157,43.68987989,137284706,9000000128,AIDS Bureau,HIV Outpatient Clinic,"Michael Garron Hospital
Immunodeficiency Clinic",825 Coxwell Avenue East,0,Practice Location,Toronto,M4C3E7
-79.38900209,43.65821299,137284707,9000000129,AIDS Bureau,HIV Outpatient Clinic,"Toronto General Hospital
Immunodeficiency Clinic",585 University Avenue,13nu-1300,Practice Location,Toronto,M5G2N2
-79.37176928,43.66144079,137284708,9000000130,AIDS Bureau,CBAESP,Toronto People With AIDS Foundation,200 Gerrard Street East,2nd Floor,Practice Location,Toronto,M5A2E6
-79.45221111,43.65692538,137284709,9000000131,AIDS Bureau,"AT site, HIV POC Testing","Toronto Public Health, Crossways Sexual Health Clinic",2340 Dundas Street West,0,Practice Location,Toronto,M6P4A9
-79.25758225,43.77289641,137284710,9000000132,AIDS Bureau,"AT site, HIV POC Testing","Toronto Public Health, Scarborough Sexual Health Clinic",160 Borough Drive,0,Practice Location,Toronto,M1P4N8
-79.37938038,43.65654429,137284711,9000000133,AIDS Bureau,"AT site, HR Program, HIV POC Testing","Toronto Public Health, The Works",277 Victoria Street,Main Floor,Practice Location,Toronto,M5B1W2
-79.5620015,46.33798413,137284712,9000000134,AIDS Bureau,CBAESP,Union of Ontario Indians,1 Migizii Miikan,Postal Office Box 711,Practice Location,North Bay,P1B8J8
-79.44494411,43.71953449,137284713,9000000135,AIDS Bureau,"CBAESP, AT site, HR Program, HIV POC Testing",Unison Health and Community Services,12 Flemington Road,0,Practice Location,Toronto,M6A2N4
-79.38837229,43.65867459,137284714,9000000136,AIDS Bureau,"HCV Team, HIV POC Testing","University Health Network, Toronto General Hospital",200 Elizabeth Street,Rfe 1s417,Practice Location,Toronto,M5G2C4
-75.68039433,45.42173546,137284715,9000000137,AIDS Bureau,HIV Outpatient Clinic,"University of Ottawa Health Services, HIV Clinic",100 Marie-Curie Private,Suite 300,Practice Location,Ottawa,K1N6N5
-82.49342257,42.59205355,137284716,9000000139,AIDS Bureau,CBAESP,"Walpole Island First Nation, Bkejwanong Territory",117 Tahgahoning Road,0,Practice Location,Wallaceburg,N8A4K9
-79.27812676,43.703961,137284717,9000000140,AIDS Bureau,"CBAESP, HR Program",Warden Woods Community Centre,74 Firvalley Court,0,Practice Location,Toronto,M1L1N9
-79.8730434,43.24983119,137284718,9000000141,AIDS Bureau,"HCV Team, HIV POC Testing",Wayside House of Hamilton,15 Charlton Avenue West,0,Practice Location,Hamilton,L8P2B8
-79.7120768,43.72807748,137284719,9000000142,AIDS Bureau,"HCV Team, HIV Outpatient Clinic, HIV POC Testing","WellFort Community Health Services, Bloom Clinic",40 Finchgate Boulevard,Suite 224,Practice Location,Brampton,L6T3J1
-80.23374694,43.52488982,137284720,9000000143,AIDS Bureau,"AT site, HIV POC Testing","Wellington-Dufferin-Guelph Health Unit, Sexual Health Clinic",160 Chancellors Way,0,Practice Location,Guelph,N1G0E1
-83.00246,42.31377557,137284721,9000000144,AIDS Bureau,"CBAESP, AT Site, HIV Outpatient Clinic, HIV POC Testing","Windsor Regional Hospital, Tecumseh Byng Clinic, HIV Care Program",1275 Walker Road,Suite 10,Practice Location,Windsor,N8Y4X9
-83.03005811,42.30282687,137284722,9000000145,AIDS Bureau,"AT Site, HCV Team, HIV POC Testing",Windsor-Essex Community Health Centre,1361 Ouellette Avenue,Suite 101,Practice Location,Windsor,N8X1J6
